    51/199     1.65G   0.02805   0.00781         0   0.03586        14       512     0.782    0.5979    0.6352    0.2591    0.0527   0.01871         0
    52/199     1.65G   0.02822  0.007857         0   0.03608        14       512    0.8224    0.6172    0.6764     0.276   0.05168   0.01822         0
    53/199     1.65G   0.02748  0.007582         0   0.03506        14       512    0.7521    0.6137     0.639    0.2859   0.05125   0.01958         0
    54/199     1.65G   0.02717  0.007572         0   0.03474        14       512    0.7821    0.6275    0.6543    0.2737   0.05081   0.01744         0
    55/199     1.65G   0.02596  0.007451         0   0.03341        14       512    0.7699    0.6037    0.6464    0.2525   0.05296   0.01899         0
    56/199     1.65G   0.02668  0.007455         0   0.03413        14       512    0.7187    0.6157    0.6357    0.2413   0.05274   0.01999         0
    57/199     1.65G    0.0268  0.007571         0   0.03437        14       512    0.7601    0.6275    0.6463    0.2535   0.05262   0.01805         0
    58/199     1.65G   0.02727  0.007359         0   0.03463        14       512    0.8057    0.6097    0.6346    0.2565   0.05159    0.0178         0
    59/199     1.65G   0.02632  0.007363         0   0.03369        14       512    0.7669    0.6392    0.6423    0.2654   0.05149   0.01875         0
    60/199     1.65G   0.02639  0.007443         0   0.03383        14       512    0.7378    0.6843    0.6677      0.27   0.05089    0.0184         0
    61/199     1.65G    0.0265  0.007243         0   0.03375        14       512    0.8012    0.6176    0.6619    0.2705   0.05154   0.01998         0
    62/199     1.65G   0.02621  0.007273         0   0.03348        14       512    0.7535    0.6115    0.6382    0.2605   0.05211   0.02075         0
    63/199     1.65G   0.02506  0.006968         0   0.03203        14       512    0.8361    0.5802    0.6332    0.2624   0.05176    0.0208         0
    64/199     1.65G   0.02594  0.007223         0   0.03316        14       512    0.7684    0.5725    0.6297    0.2674   0.05048   0.02005         0
    65/199     1.65G   0.02323  0.006996         0   0.03022        14       512    0.7758    0.6255    0.6673    0.2892   0.05035    0.0193         0
    66/199     1.65G   0.02223  0.006781         0   0.02901        14       512    0.7764    0.6058    0.6587    0.2912   0.05001   0.01951         0
    67/199     1.65G   0.02134  0.006781         0   0.02812        14       512    0.8042    0.6038    0.6595    0.2877   0.05103   0.01998         0
    68/199     1.65G   0.02234  0.006504         0   0.02885        14       512    0.7495    0.6765    0.6729    0.2858   0.05077   0.02063         0
    69/199     1.65G    0.0219   0.00658         0   0.02848        14       512    0.8242    0.6353    0.6968    0.2864   0.05021    0.0195         0
    70/199     1.65G   0.02332  0.006763         0   0.03009        14       512    0.7423    0.6664    0.6919    0.2925      0.05   0.02137         0
    71/199     1.65G    0.0225   0.00657         0   0.02907        14       512    0.8278    0.6137     0.659    0.2841    0.0505   0.02219         0
    72/199     1.65G   0.02162  0.006601         0   0.02822        14       512    0.7471    0.6451    0.6585    0.2894   0.05026   0.02217         0
    73/199     1.65G   0.02283  0.006568         0    0.0294        14       512    0.8064    0.6294    0.6731    0.2814   0.05042   0.02002         0
    74/199     1.65G    0.0233  0.006696         0   0.02999        14       512    0.7505    0.6135    0.6357    0.2743    0.0512   0.02039         0
    75/199     1.65G   0.02357  0.006668         0   0.03024        14       512    0.7392    0.6392    0.6563    0.2776    0.0526   0.02066         0
    76/199     1.65G   0.02361  0.006667         0   0.03028        14       512    0.7667    0.6196    0.6575     0.269    0.0521   0.01997         0
    77/199     1.65G   0.02388  0.006861         0   0.03074        14       512     0.823    0.6314    0.6956    0.2921    0.0505   0.01906         0
    78/199     1.65G    0.0224  0.006552         0   0.02895        14       512    0.7802    0.6195    0.6781    0.2873   0.05004   0.01915         0
    79/199     1.65G   0.02177  0.006316         0   0.02809        14       512    0.8102    0.6195     0.674    0.2949   0.05001   0.01972         0
    80/199     1.65G   0.02135   0.00629         0   0.02764        14       512    0.8205    0.6471    0.6959    0.2868   0.05084   0.02138         0
    81/199     1.65G   0.02223  0.006362         0   0.02859        14       512    0.7973    0.6216    0.6659     0.292   0.05097   0.02285         0
    82/199     1.65G   0.02157  0.006243         0   0.02781        14       512    0.7652    0.6333    0.6522    0.2853   0.05133   0.02456         0
    83/199     1.65G   0.02266  0.006356         0   0.02902        14       512    0.8368    0.5941    0.6399    0.2874    0.0514   0.02399         0
    84/199     1.65G   0.02091   0.00609         0     0.027        14       512    0.8361     0.602     0.655    0.2853   0.05173    0.0226         0
    85/199     1.65G   0.02085  0.005942         0    0.0268        14       512    0.7702     0.631    0.6617    0.2837   0.05178   0.02186         0
    86/199     1.65G   0.02044  0.006044         0   0.02649        14       512    0.8095    0.5998    0.6606    0.2758   0.05102   0.02102         0
    87/199     1.65G   0.02167  0.006206         0   0.02787        14       512    0.7814    0.6314    0.6706    0.2792   0.05076   0.02112         0
    88/199     1.65G   0.02133  0.005946         0   0.02727        14       512     0.767     0.639    0.6778    0.2853   0.04964   0.02099         0
    89/199     1.65G   0.02015  0.005852         0     0.026        14       512    0.7926    0.6293    0.6698    0.2857    0.0494   0.02137         0
    90/199     1.65G   0.01922  0.005826         0   0.02505        14       512    0.7644    0.6059    0.6375    0.2777   0.05098   0.02155         0
